Video Title,Video ID,Video Link,Published Date,Username,Comment
"ULASAN MALAM - PSSI Copot Shin Tae-Yong, TNI AL Jawab Keterlibatan Prajuritnya di Kasus Bos Rental",CQpf7LSsnAU,https://www.youtube.com/watch?v=CQpf7LSsnAU,2025-01-06T16:34:35Z,@Dwi.S512,Mantap
"ULASAN MALAM - PSSI Copot Shin Tae-Yong, TNI AL Jawab Keterlibatan Prajuritnya di Kasus Bos Rental",CQpf7LSsnAU,https://www.youtube.com/watch?v=CQpf7LSsnAU,2025-01-06T16:34:35Z,@Rizkinoviansyah_14,Pertama nih komen .. plis tolong minta like nya kawan😅🎉
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@EnsiEnsisa-ic5by,Ada apa dgn STY
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@dedepatil,Politik sepakbola banyak penghianat
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@Hasril-t9k,"Kasihan coach sty bahasanya dipecat pada Hal sdh memberikan perobahan significant  buat pssi , jangan terlalu Bernafsu Urk masuk pildun harus bertahap mang Erick  😊"
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@ahmadzeinuri9671,pergantian itu pasti ada jadi kenapa harus ribut
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@onnyhermanus86,Makin mundur sepak bola Indonesia. STY diganti dengan orang yg ga jelas prestasinya
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@camowijayakusuma5919,Didalam Persiapan Seleksi Piala Dunia <br><br>Pelatih Baru menurut Saya lebih Cocok Pelatih Marcelo Lippi <br><br>Sebab Marcelo Lippi sudah Terbukti Membawa Italia Menjadi Juara Dunia 2006
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@AKUPADAMU-de1bf,Klo eric toher jd pelatih cocok.   Dia pinter. Tp pinter omong....
"BREAKING NEWS - PSSI Copot Shin Tae-yong Sebagai Pelatih Timnas, Erick Thohir: Sudah Ada Pengganti",jJSIrYP_GUo,https://www.youtube.com/watch?v=jJSIrYP_GUo,2025-01-06T05:19:16Z,@senju6772,Knapa ngga ketua PSSI sekalian di ganti..saya yakin pelatih yg akan datang Tidak lebih baik dari sty
